% Task ID	Task location(GPS latitude)	Task location(GPS longitude)	Task price	Task status
0001	22.56614225	113.9808368	66	0
0002	22.68620526	113.9405252	65.5	0
0003	22.57651183	113.957198	65.5	1
0004	22.56484081	114.2445711	75	0
0005	22.55888775	113.9507227	65.5	0
0006	22.55899906	114.2413174	75	0
0007	22.54900371	113.9722597	65.5	1
0008	22.56277351	113.9565735	65.5	0
0009	22.50001192	113.8956606	66	0
0010	22.5437861	113.9239778	66	1
0011	22.52486369	113.9308596	65.5	0
0012	22.519087	113.9358436	65.5	0
0013	22.54797243	113.977909	65.5	1
0014	22.50616871	113.9314284	66	1
0015	22.49962566	113.9365145	66	1
0016	22.54032142	113.9236456	66	1
0017	22.52455419	113.9247319	65.5	1
0018	22.4981901	113.8984817	66	0
0019	22.54603946	113.9749684	65.5	1
0020	22.49772892	113.9373377	66	1
0021	22.49416247	113.927139	66	1
0022	22.51592012	113.9356769	65	1
0023	22.51578568	113.9420557	65.5	0
0024	22.54220963	114.0196493	66.5	0
0025	22.54458961	113.9986601	67.5	0
0026	22.49308313	113.9358391	66	1
0027	22.52488949	113.9191429	65.5	1
0028	22.54808582	113.9453119	66.5	1
0029	22.56470734	113.9820093	66	0
0030	22.58193448	114.1563953	68	0
0031	22.54293611	114.1314072	67	0
0032	22.52394954	113.9434416	65.5	0
0033	22.55101305	113.9567446	65.5	1
0034	22.5829933	114.1471227	66	1
0035	22.54927013	114.1317447	66.5	0
0036	22.52596134	113.9353993	65.5	1
0037	22.7563793	114.0421356	70	0
0038	22.64144071	114.4227421	75	0
0039	22.71166007	114.0728836	66.5	0
0040	22.60649323	114.1241536	66	0
0041	22.66229971	114.0729969	65	0
0042	22.63539828	114.2263772	66.5	1
0043	22.73802844	114.264097	67	0
0044	22.62558348	114.1549664	69	0
0045	22.65265496	114.0272292	66	0
0046	22.78892197	113.8966327	66	0
0047	22.70103564	114.2442921	67	0
0048	22.63154051	114.1214928	67	0
0049	22.6417148	114.195533	68.5	0
0050	22.68940336	114.3454188	70	0
0051	22.63010042	114.0638327	66.5	0
0052	22.66391673	114.0717177	65.5	0
0053	22.750664	114.378843	70	0
0054	22.72272561	114.0738016	67	0
0055	22.64138032	114.2299818	67	0
0056	22.77640754	114.3095878	73	0
0057	22.58706534	113.9057614	66	0
0058	22.69339571	114.1474874	69	0
0059	22.6040497	114.0586138	66	0
0060	22.6376364	114.0679162	65.5	0
0061	22.65788521	114.0747723	65.5	0
0062	22.61781817	114.1572608	67.5	0
0063	22.64144071	114.4227421	75	0
0064	22.78139876	114.3008065	73	0
0065	22.72294122	114.2777156	67	0
0066	22.67470711	114.2209333	67	0
0067	22.66283814	114.0263974	65	0
0068	22.65776972	114.0794934	65.5	0
0069	22.65691327	114.2100928	66	0
0070	22.73859039	113.8184493	66.5	0
0071	22.71636331	114.322257	70	0
0072	22.52331401	114.0466386	66.5	0
0073	22.65301422	114.2124549	66	0
0074	22.5331754	114.0831342	66.5	0
0075	22.59955905	114.130363	66.5	0
0076	22.65027837	113.9366241	68.5	0
0077	22.73782038	114.2858901	65.5	1
0078	22.73859039	113.8184493	66.5	1
0079	22.74300109	113.9950401	71	0
0080	22.63495417	114.0448196	66	0
0081	22.75139338	114.0262399	70	1
0082	22.61556463	114.1524159	67	0
0083	22.68447006	114.000085	66	0
0084	22.6651428	114.0200019	65.5	0
0085	22.69331552	113.8170784	66	0
0086	22.75600203	113.8513612	66.5	0
0087	22.73335619	113.8312919	66	0
0088	22.7778578	113.9170043	70	0
0089	22.70597175	113.8079954	66.5	0
0090	22.70466497	113.9726899	70	0
0091	22.65204961	114.0535937	65.5	0
0092	22.72133411	114.0616196	67	0
0093	22.68008861	113.8347861	70	0
0094	22.70874974	113.8160543	66	0
0095	22.60766979	113.8685312	65.5	0
0096	22.72710367	114.0613819	67	1
0097	22.67955589	113.8329385	65.5	0
0098	22.67509773	113.822362	65.5	0
0099	22.73335619	113.8312919	66	0
0100	22.61177508	114.0380587	66	0
0101	22.73006657	114.0666477	66.5	0
0102	22.65235376	113.9299125	70	0
0103	22.71365257	114.0652375	66	0
0104	22.56073431	113.8900779	70	1
0105	22.67343353	113.8257052	65	0
0106	22.59155498	114.1259102	67.5	0
0107	22.670522	113.9235611	70	0
0108	22.70038707	113.8449026	66	0
0109	22.56350361	113.9068948	65.5	1
0110	22.70743279	113.9300131	68.5	0
0111	22.6335575	113.8513604	70.5	0
0112	22.56419251	113.8961664	65.5	0
