% Member ID	Location(GPS latitude and longitude) 	Bid quota	Starting bid time	Credit value
0001	22.947097 113.679983	114	6.30	67997.3868
0002	22.577792 113.966524	163	6.30	37926.5416
0003	23.192458 113.347272	139	6.30	27953.0363
0004	23.255965 113.31875	98	6.30	25085.6986
0005	33.65205 116.97047	66	6.30	20919.0667
0006	22.262784 112.79768	72	6.30	18237.6295
0007	29.560903 106.239083	15	6.30	15729.3601
0008	23.143373 113.376315	95	6.42	14868.4446
0009	23.28528 113.651842	110	6.36	13556.1555
0010	23.099259 113.488909	64	6.36	13327.9511
0011	23.192462 113.34726	89	6.42	11349.0899
0012	22.548889 113.955368	102	6.33	10957.5811
0013	23.178845 113.358177	90	6.45	10427.7392
0014	23.054911 113.768888	232	6.30	10210.6765
0015	23.053426 113.761634	217	6.33	10187.7506
0016	23.054769 113.652720	171	6.30	9495.8126
0017	22.92814 114.081898	52	6.39	9065.9062
0018	23.146943 113.305001	85	6.48	8549.9583
0019	23.025829 113.317362	73	6.33	7054.4886
0020	23.012667 113.839206	94	6.30	6824.2516
0021	22.574867 113.920188	77	6.36	6510.0602
0022	27.124487 111.017906	1	6.30	6494.3768
0023	23.262722 113.29603	73	6.39	6105.2056
0024	23.216283 113.29179	60	6.54	5207.8348
0025	22.724052 113.922057	38	6.30	4268.3089
0026	23.025831 113.31738	57	6.36	4236.5421
0027	23.141684 113.262137	62	6.51	4182.3338
0028	23.173014 113.320705	58	7.00	3836.0711
0029	23.187008 113.257642	56	6.57	3562.2053
0030	23.10714 113.301889	43	7.06	3039.9026
0031	22.667339 114.007186	25	6.39	2923.8802
0032	23.129688 113.409023	34	7.00	2755.8648
0033	22.993463 114.728544	29	6.30	2635.5945
0034	22.799744 113.782606	19	6.33	2274.9848
0035	23.125731 113.402306	29	7.09	2148.7238
0036	23.089162 112.882467	51	6.33	2127.005
0037	23.13759 113.381757	33	7.09	1980.8566
0038	22.935859 113.683234	67	6.33	1937.4291
0039	21.679227 110.922443	88	6.30	1691.0543
0040	23.099656 113.487402	23	6.48	1650.2348
0041	23.039077 113.133736	55	6.30	1523.3223
0042	22.640977 114.061072	24	6.36	1507.8397
0043	22.698914 113.818848	26	6.30	1498.9031
0044	22.699085 113.79328	17	6.36	1493.9265
0045	22.630761 114.088349	26	6.36	1474.9462
0046	22.736419 114.275272	64	6.30	1430.8899
0047	23.166269 113.21411	40	6.51	1366.1619
0048	20.335061 110.178827	30	6.30	1365.3053
0049	23.026671 113.314161	31	6.45	1256.9036
0050	22.605016 114.134612	24	6.36	1179.1445
0051	22.55258 114.131064	22	6.39	1125.7637
0052	22.551065 113.906415	33	6.42	1078.8887
0053	23.258526 113.320772	33	6.51	1054.1406
0054	23.201831 113.329844	28	7.21	1047.2994
0055	22.55234 114.004208	20	6.51	956.449
0056	23.127808 113.268909	28	7.09	876.885
0057	22.963677 113.668272	32	6.45	860.6575
0058	22.546424 114.091551	20	6.45	819.5817
0059	23.027282 113.321826	25	6.51	812.4732
0060	22.649465 114.046196	16	6.51	802.9929
0061	23.013316 113.764039	56	6.42	801.945
0062	22.786188 113.89986	18	6.39	768.431
0063	22.631265 114.088053	19	6.54	759.2893
0064	22.59321 113.997232	17	7.06	758.6399
0065	22.646966 114.054897	15	7.03	741.186
0066	22.537631 113.921206	28	6.51	716.1536
0067	22.945963 113.378949	17	6.45	692.4968
0068	22.572454 113.900611	27	6.51	680.1682
0069	23.138201 113.305131	1	6.36	661.4701
0070	23.125711 113.266843	1	6.39	638.8183
0071	22.921069 114.011611	5	7.00	636.5533
0072	23.085993 113.286892	20	7.18	631.8731
0073	23.201472 113.328149	21	7.27	607.9601
0074	23.107633 113.934697	48	6.30	585.3526
0075	23.05819 113.382202	17	7.18	578.4185
0076	22.631295 114.088048	16	7.03	577.3317
0077	23.04938 113.170711	27	6.42	557.8477
0078	22.832066 113.717908	10	6.36	544.8401
0079	22.746146 113.845129	13	6.48	544.5673
0080	22.695229 114.235036	34	6.33	537.6568
0081	23.023983 113.113357	41	6.36	533.4239
0082	21.202247 110.417157	29	6.39	527.6239
0083	23.025897 113.317272	20	7.03	526.7561
0084	22.559031 114.133815	15	6.57	512.8802
0085	23.134029 113.380696	1	6.45	498.2218
0086	22.979376 113.359597	15	6.57	479.3786
0087	22.617332 114.046699	12	7.18	466.0196
0088	23.110206 113.840149	36	6.45	464.8392
0089	23.467117 113.36579	19	6.33	463.2336
0090	22.661854 114.027580	12	7.00	462.5524
0091	22.805765 113.580688	58	6.30	456.8141
0092	22.573973 114.118394	14	7.06	443.4528
0093	23.048773 113.320775	16	7.27	438.3089
0094	22.654465 114.042558	12	7.12	432.0017
0095	23.08834 113.811783	42	6.48	430.3396
